name,link,population,year,net_change
,,,,
China,/world-population/china-population/,"1,439,323,776",0.39 %,"5,540,090"
India,/world-population/india-population/,"1,380,004,385",0.99 %,"13,586,631"
United States,/world-population/us-population/,"331,002,651",0.59 %,"1,937,734"
Indonesia,/world-population/indonesia-population/,"273,523,615",1.07 %,"2,898,047"
Pakistan,/world-population/pakistan-population/,"220,892,340",2.00 %,"4,327,022"
Brazil,/world-population/brazil-population/,"212,559,417",0.72 %,"1,509,890"
Nigeria,/world-population/nigeria-population/,"206,139,589",2.58 %,"5,175,990"
Bangladesh,/world-population/bangladesh-population/,"164,689,383",1.01 %,"1,643,222"
Russia,/world-population/russia-population/,"145,934,462",0.04 %,"62,206"
Mexico,/world-population/mexico-population/,"128,932,753",1.06 %,"1,357,224"
Japan,/world-population/japan-population/,"126,476,461",-0.30 %,"-383,840"
Ethiopia,/world-population/ethiopia-population/,"114,963,588",2.57 %,"2,884,858"
Philippines,/world-population/philippines-population/,"109,581,078",1.35 %,"1,464,463"
Egypt,/world-population/egypt-population/,"102,334,404",1.94 %,"1,946,331"
Vietnam,/world-population/vietnam-population/,"97,338,579",0.91 %,"876,473"
DR Congo,/world-population/democratic-republic-of-the-congo-population/,"89,561,403",3.19 %,"2,770,836"
Turkey,/world-population/turkey-population/,"84,339,067",1.09 %,"909,452"
Iran,/world-population/iran-population/,"83,992,949",1.30 %,"1,079,043"
Germany,/world-population/germany-population/,"83,783,942",0.32 %,"266,897"
Thailand,/world-population/thailand-population/,"69,799,978",0.25 %,"174,396"
United Kingdom,/world-population/uk-population/,"67,886,011",0.53 %,"355,839"
France,/world-population/france-population/,"65,273,511",0.22 %,"143,783"
Italy,/world-population/italy-population/,"60,461,826",-0.15 %,"-88,249"
Tanzania,/world-population/tanzania-population/,"59,734,218",2.98 %,"1,728,755"
South Africa,/world-population/south-africa-population/,"59,308,690",1.28 %,"750,420"
Myanmar,/world-population/myanmar-population/,"54,409,800",0.67 %,"364,380"
Kenya,/world-population/kenya-population/,"53,771,296",2.28 %,"1,197,323"
South Korea,/world-population/south-korea-population/,"51,269,185",0.09 %,"43,877"
Colombia,/world-population/colombia-population/,"50,882,891",1.08 %,"543,448"
Spain,/world-population/spain-population/,"46,754,778",0.04 %,"18,002"
Uganda,/world-population/uganda-population/,"45,741,007",3.32 %,"1,471,413"
Argentina,/world-population/argentina-population/,"45,195,774",0.93 %,"415,097"
Algeria,/world-population/algeria-population/,"43,851,044",1.85 %,"797,990"
Sudan,/world-population/sudan-population/,"43,849,260",2.42 %,"1,036,022"
Ukraine,/world-population/ukraine-population/,"43,733,762",-0.59 %,"-259,876"
Iraq,/world-population/iraq-population/,"40,222,493",2.32 %,"912,710"
Afghanistan,/world-population/afghanistan-population/,"38,928,346",2.33 %,"886,592"
Poland,/world-population/poland-population/,"37,846,611",-0.11 %,"-41,157"
Canada,/world-population/canada-population/,"37,742,154",0.89 %,"331,107"
Morocco,/world-population/morocco-population/,"36,910,560",1.20 %,"438,791"
Saudi Arabia,/world-population/saudi-arabia-population/,"34,813,871",1.59 %,"545,343"
Uzbekistan,/world-population/uzbekistan-population/,"33,469,203",1.48 %,"487,487"
Peru,/world-population/peru-population/,"32,971,854",1.42 %,"461,401"
Angola,/world-population/angola-population/,"32,866,272",3.27 %,"1,040,977"
Malaysia,/world-population/malaysia-population/,"32,365,999",1.30 %,"416,222"
Mozambique,/world-population/mozambique-population/,"31,255,435",2.93 %,"889,399"
Ghana,/world-population/ghana-population/,"31,072,940",2.15 %,"655,084"
Yemen,/world-population/yemen-population/,"29,825,964",2.28 %,"664,042"
Nepal,/world-population/nepal-population/,"29,136,808",1.85 %,"528,098"
Venezuela,/world-population/venezuela-population/,"28,435,940",-0.28 %,"-79,889"
Madagascar,/world-population/madagascar-population/,"27,691,018",2.68 %,"721,711"
Cameroon,/world-population/cameroon-population/,"26,545,863",2.59 %,"669,483"
Côte d'Ivoire,/world-population/cote-d-ivoire-population/,"26,378,274",2.57 %,"661,730"
North Korea,/world-population/north-korea-population/,"25,778,816",0.44 %,"112,655"
Australia,/world-population/australia-population/,"25,499,884",1.18 %,"296,686"
Niger,/world-population/niger-population/,"24,206,644",3.84 %,"895,929"
Taiwan,/world-population/taiwan-population/,"23,816,775",0.18 %,"42,899"
Sri Lanka,/world-population/sri-lanka-population/,"21,413,249",0.42 %,"89,516"
Burkina Faso,/world-population/burkina-faso-population/,"20,903,273",2.86 %,"581,895"
Mali,/world-population/mali-population/,"20,250,833",3.02 %,"592,802"
Romania,/world-population/romania-population/,"19,237,691",-0.66 %,"-126,866"
Malawi,/world-population/malawi-population/,"19,129,952",2.69 %,"501,205"
Chile,/world-population/chile-population/,"19,116,201",0.87 %,"164,163"
Kazakhstan,/world-population/kazakhstan-population/,"18,776,707",1.21 %,"225,280"
Zambia,/world-population/zambia-population/,"18,383,955",2.93 %,"522,925"
Guatemala,/world-population/guatemala-population/,"17,915,568",1.90 %,"334,096"
